x1_exp,dpm_mean_w
0.03954385793762712,0.15633311721373427
0.07480843820066459,0.16629909892924893
0.10564905209724615,0.1930429402057539
0.14354926841780177,0.21419763269569836
0.17612724274323183,0.27077474765798887
0.2122583109677865,0.2981433810130072
0.2475365928114931,0.29257177024970316
0.28279733663194323,0.30688827785928696
0.31893717386812614,0.3243128520278614
0.35331169945089547,0.3436008411674405
0.38770759949950867,0.33865018604006236
0.4185679436722538,0.34301989414706846
0.4547116173510241,0.35609394242157355
0.4899964759534519,0.34306428726843646
0.5252654407223035,0.3480582393907291
0.5614551517121221,0.30892597693640333
0.5976174595406024,0.30086889943971495
0.6328814917404133,0.3114563848543824
0.6663939138674795,0.3083696927612357
0.7025666348972683,0.2885040449806452
0.7343192260031887,0.2810657308669757
0.7696166900598321,0.25374149063332546
0.804043829712371,0.21336512465424068
0.8393160828605832,0.21463005458161677
0.8755304566956063,0.14753012566541723
0.9116642652362947,0.17179124052467193
0.9804840165580863,0.13019324161312545
0.9452545123415618,0.08045102315183494
